size,time,l1,l2,flops
600,0.014,3406086,7173678,54000001
600,0.017,3401609,7030122,54000001
1000,0.1,15755779,32009141,250000001
1000,0.083,15753109,32508391,250000001
1400,0.247,43531885,87225037,686000001
1400,0.236,43491663,87363198,686000001
1800,0.591,93673532,181906367,1458000001
1800,0.569,93591648,183612264,1458000001
2200,1.011,258732833,331713754,2662000001
2200,1.271,258503691,314127082,2662000001
2600,1.725,549744536,547248177,4394000001
2600,1.676,549772770,551887077,4394000001
3000,2.577,845347758,842504661,6750000001
3000,2.551,845362651,849015172,6750000001
