size,block_size,time
600,20,0.256
600,20,0.267
600,25,0.225
600,25,0.200
600,40,0.199
600,40,0.194
600,50,0.199
600,50,0.197
600,100,0.202
600,100,0.201
600,200,0.207
600,200,0.213
1000,20,0.913
1000,20,0.910
1000,25,0.891
1000,25,0.893
1000,40,0.878
1000,40,0.875
1000,50,0.884
1000,50,0.893
1000,100,0.916
1000,100,0.911
1000,200,0.950
1000,200,0.949
1400,20,2.536
1400,20,2.537
1400,25,2.478
1400,25,2.475
1400,40,2.418
1400,40,2.445
1400,50,2.453
1400,50,2.448
1400,100,2.516
1400,100,2.512
1400,200,2.637
1400,200,2.607
1800,20,5.376
1800,20,5.371
1800,25,5.258
1800,25,5.266
1800,40,5.166
1800,40,5.158
1800,50,5.179
1800,50,5.191
1800,100,5.330
1800,100,5.348
1800,200,5.547
1800,200,5.596
2200,20,9.913
2200,20,9.906
2200,25,9.642
2200,25,9.643
2200,40,9.424
2200,40,9.438
2200,50,9.524
2200,50,9.490
2200,100,9.713
2200,100,9.714
2200,200,10.227
2200,200,10.235
2600,20,16.351
2600,20,16.351
2600,25,15.907
2600,25,15.908
2600,40,15.631
2600,40,15.478
2600,50,15.489
2600,50,15.486
2600,100,15.885
2600,100,15.888
2600,200,16.692
2600,200,16.679
3000,20,24.744
3000,20,24.742
3000,25,24.092
3000,25,24.079
3000,40,23.627
3000,40,23.760
3000,50,24.386
3000,50,24.170
3000,100,24.647
3000,100,24.642
3000,200,25.615
3000,200,25.700
