size,time,l1,l2
600,0.196327,244753583,39093610
600,0.200891,244623909,39138819
1000,1.19044,1215323106,292704974
1000,1.3699,1234069534,292238119
1400,3.50288,3523440928,1455955727
1400,4.01139,3524337774,1494834633
1800,18.3675,9083764724,7811865013
1800,18.2045,9086882416,7446148335
2200,38.6268,17630788424,22411981213
2200,39.4775,17631056005,22881171854
2600,72.5243,30875767558,50809951357
2600,72.9661,30875643771,50442623539
3000,116.979,50292086934,95162688098
3000,116.812,50292388204,96816108116
